RepairID,PC_ID,UserComplaint,Symptoms,ProblemDetected,ConfirmedDiagnosis,RootCause,TreatmentTaken,RepairStatus,TechnicianNotes,ResolutionVerified
REP-00703,DRDO-PC-0062,User reports: Computer sometimes fails to start on the first attempt during recent operation.,Intermittent startup failure,Power Issue,Intermittent startup power fault,Intermittent PSU startup behavior,Diagnosed startup rail behavior and replaced unstable power supply,Completed,Diagnosis confirmed through targeted checks. Diagnosed startup rail behavior and replaced unstable power supply,Yes
REP-00477,DRDO-PC-0082,Maintenance note: System reports low memory despite few active applications.,Low available memory with limited active workload,Memory Leak,Abnormal committed-memory retention,Hidden background process retains memory,Identified hidden leaking process and updated it,Completed,Diagnosis confirmed through targeted checks. Identified hidden leaking process and updated it,Yes
REP-00822,DRDO-PC-0022,User reports: PC appears to be operating normally,Normal responsiveness; no warnings,No Problem,System operating within expected behavior,Normal system behavior,No repair required; continued routine monitoring,Completed,Diagnosis confirmed through targeted checks. No repair required; continued routine monitoring,Yes
REP-00772,DRDO-PC-0030,Voltage warning appears in hardware monitoring,Out-of-range voltage alert,Power Issue,Voltage regulation abnormality,Out-of-tolerance power rail,Corrected out-of-range power rail with PSU replacement,Completed,Diagnosis confirmed through targeted checks. Corrected out-of-range power rail with PSU replacement,Yes
REP-00106,DRDO-PC-0005,User reports: The case feels very hot and performance drops during recent operation.,Hot exhaust air; CPU throttling,Overheating,Heat rejection performance degraded,Dust accumulation on heatsink fins,Cleaned heatsink fins and verified temperature reduction,Completed,Diagnosis confirmed through targeted checks. Cleaned heatsink fins and verified temperature reduction,Yes
REP-00566,DRDO-PC-0084,Available memory steadily decreases during the day,Declining available RAM over time,Memory Leak,Progressive system memory depletion,Unbounded cache or object retention,Limited unbounded cache and applied software fix,Completed,Diagnosis confirmed through targeted checks. Limited unbounded cache and applied software fix,Yes
REP-00390,DRDO-PC-0099,User reports: Operating system reports bad sectors,Bad-sector reports; read instability,Disk Failure,Bad-sector growth confirmed,Progressive sector failure,Backed up data and replaced drive with growing bad sectors,Completed,Diagnosis confirmed through targeted checks. Backed up data and replaced drive with growing bad sectors,Yes
REP-00002,DRDO-PC-0070,System heats up quickly even with moderate usage,Rapid temperature rise; hot chassis,Overheating,Restricted chassis airflow,Dust-blocked intake and exhaust vents,"Cleaned intake vents, exhaust vents, and internal airflow path",Completed,"Diagnosis confirmed through targeted checks. Cleaned intake vents, exhaust vents, and internal airflow path",Yes
REP-00938,DRDO-PC-0049,Observed issue: Machine operates normally across daily tasks and requests diagnosis.,Stable daily operation,No Problem,Daily workload stability confirmed,Normal daily operating condition,Tested normal daily workload and confirmed stability,Completed,Diagnosis confirmed through targeted checks. Tested normal daily workload and confirmed stability,Yes
REP-00983,DRDO-PC-0103,User reports: Preventive inspection requested before deployment,No fault indicators during preventive check,No Problem,Preventive inspection passed,Preventive maintenance request,Performed preventive inspection and documented results,Completed,Diagnosis confirmed through targeted checks. Performed preventive inspection and documented results,Yes
REP-00562,DRDO-PC-0046,System becomes slow after applications stay open for hours,Progressive slowdown; rising memory usage,Memory Leak,Long-running application memory retention,Long-running process retains unused objects,"Restarted affected service, applied update, and monitored memory trend",Completed,"Diagnosis confirmed through targeted checks. Restarted affected service, applied update, and monitored memory trend",Yes
REP-00081,DRDO-PC-0050,PC becomes extremely hot during heavy workloads during recent operation.,Sustained high CPU temperature; thermal throttling,Overheating,CPU cooling efficiency degraded,Dried thermal interface material,Replaced thermal paste and verified load temperatures,Completed,Diagnosis confirmed through targeted checks. Replaced thermal paste and verified load temperatures,Yes
REP-00206,DRDO-PC-0032,Boot process is slow and disk check runs repeatedly,Slow boot; recurring filesystem checks,Disk Failure,Filesystem instability associated with failing storage,Storage media degradation causing filesystem errors,Repaired filesystem after replacing degraded storage,Completed,Diagnosis confirmed through targeted checks. Repaired filesystem after replacing degraded storage,Yes
REP-00035,DRDO-PC-0072,User reports: Fans become loud but the PC still gets very hot,High temperature despite high fan speed,Overheating,Cooling airflow ineffective despite fan demand,Fan spinning but airflow path obstructed,Cleared blocked airflow path and verified fan delivery,Completed,Diagnosis confirmed through targeted checks. Cleared blocked airflow path and verified fan delivery,Yes
REP-00776,DRDO-PC-0078,Power supply fan behaves erratically and shutdowns occur,Erratic PSU fan; power loss,Power Issue,Power supply degradation,Aging power supply components,Replaced aging PSU and confirmed stable fan and output behavior,Completed,Diagnosis confirmed through targeted checks. Replaced aging PSU and confirmed stable fan and output behavior,Yes
REP-00509,DRDO-PC-0044,User reports: Multiple applications crash after memory usage climbs during recent operation.,Application crashes under high memory pressure,Memory Leak,Memory-pressure-induced application instability,Memory pressure from unreleased application objects,Updated unstable application and validated under memory pressure,Completed,Diagnosis confirmed through targeted checks. Updated unstable application and validated under memory pressure,Yes
REP-00428,DRDO-PC-0048,User reports: System starts normally but becomes sluggish over time,Time-dependent slowdown; increasing memory pressure,Memory Leak,Time-dependent memory leak,Resource cleanup defect,Corrected resource cleanup path and tested prolonged runtime,Completed,Diagnosis confirmed through targeted checks. Corrected resource cleanup path and tested prolonged runtime,Yes
REP-00455,DRDO-PC-0054,Observed issue: Browser or application memory never returns after tabs close.,Memory not reclaimed after workload ends,Memory Leak,Application memory reclamation failure,Application cache not released,Cleared faulty cache behavior and updated application,Completed,Diagnosis confirmed through targeted checks. Cleared faulty cache behavior and updated application,Yes
REP-00367,DRDO-PC-0090,Applications hang during file save operations,Write latency spike; application hang,Disk Failure,Storage write-path degradation,Failing NAND cells or magnetic media,Replaced failing SSD or HDD and verified write stability,Completed,Diagnosis confirmed through targeted checks. Replaced failing SSD or HDD and verified write stability,Yes
REP-00092,DRDO-PC-0079,PC slows down after temperature increases during recent operation.,Performance drop correlated with temperature rise,Overheating,Temperature-induced performance throttling,Thermal paste aging,Renewed aged thermal compound,Completed,Diagnosis confirmed through targeted checks. Renewed aged thermal compound,Yes
REP-00340,DRDO-PC-0055,Observed issue: The machine shows recurring storage timeout messages and requests diagnosis.,Storage command timeout; repeated retries,Disk Failure,Recurring storage timeout condition,Drive command processing instability,Replaced unstable drive and verified timeout events cleared,Completed,Diagnosis confirmed through targeted checks. Replaced unstable drive and verified timeout events cleared,Yes
